Index,p_t,q_t,cluster_safety_t,q_cluster_t,Action,Y_t,Success,FP,FN,Misclassified,SSM decision,Weakest Link decision
1294,0.25807639956474304,3.3802651614038787e-20,0.42147230671972746,9.917054036457924e-15,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1295,0.5057639479637146,0.002820392859686538,0.9192506488347354,0.641934663800989,OFFLOADED,1.0,No,1.0,1.0,1.0,False,True
1296,0.3883157968521118,2.2618241615337662e-06,0.6436241820419195,2.985545050420477e-07,OFFLOADED,1.0,No,0.0,1.0,1.0,False,False
1297,0.5280905365943909,0.0052746686761505025,0.9654686925418119,0.905091287443755,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,True
1298,0.772239089012146,0.6848861340649672,0.621692486975378,6.234263850421023e-08,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
1299,0.2893620431423187,9.100530646716262e-14,0.37152473475870434,1.6164573330103848e-16,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1300,0.25756362080574036,1.9586474224628606e-20,0.34238204039527953,1.8886391682176267e-17,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1301,0.33447954058647156,6.549288324935355e-09,0.39688974739985067,1.4179600967412022e-15,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1302,0.26060980558395386,1.4452540584995948e-19,0.9260507010940249,0.6930942357363312,OFFLOADED,1.0,No,1.0,0.0,0.0,False,True
1303,0.253190815448761,8.957788413843407e-22,0.5654460978100725,1.7293810729458353e-09,OFFLOADED,1.0,No,1.0,0.0,0.0,False,False
1304,0.2529708445072174,8.074031226389967e-22,0.3093435464865529,1.343286213343283e-18,OFFLOADED,1.0,No,0.0,1.0,1.0,False,False
1305,0.6073132157325745,0.08095777028996333,0.8145011260268918,0.021497345675175705,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1306,0.6613548994064331,0.22880918958529742,0.7709900927891111,0.0015792927779485232,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1307,0.2556071877479553,2.6754696630734104e-21,0.8476982128119798,0.09834413058336865,OFFLOADED,1.0,No,0.0,0.0,1.0,False,False
1308,0.3450935184955597,2.0060328488470703e-08,0.3703781652572321,1.0307568921832525e-16,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1309,0.38552331924438477,1.6203869519593508e-06,0.3889498145000443,4.99830669350743e-16,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1310,0.6984267234802246,0.3612952316116521,0.5695269346067758,1.891235430377007e-09,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1311,0.30214014649391174,5.4037717434176544e-12,0.6121773776850793,3.122834446120973e-08,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1312,0.3150998651981354,1.233710227130037e-10,0.3568151386289957,3.1168579492654444e-17,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1313,0.31139999628067017,5.620901835606103e-11,0.9337149740497959,0.7313737134416336,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,True
1314,0.32320162653923035,5.385506224976607e-10,0.5394261342196909,1.60239330007602e-10,OFFLOADED,1.0,No,1.0,0.0,0.0,False,False
1315,0.3987748324871063,4.876182398121132e-06,0.620085487822112,4.868765298813492e-08,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1316,0.2939215898513794,3.2170771376162183e-13,0.3667293472773571,5.503009096998482e-17,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1317,0.42883750796318054,5.7206453188830187e-05,0.6944689592506287,1.4992336311189773e-05,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
1318,0.9179959893226624,0.9925776293608041,0.8158245099072166,0.020998525508399115,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
1319,0.2518181800842285,4.0975289825088585e-22,0.8912576151664094,0.39372719350751084,OFFLOADED,1.0,No,1.0,0.0,0.0,False,False
1320,0.2682191729545593,8.09119661173104e-18,0.6656086065492739,1.5437049802909973e-06,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1321,0.5459219217300415,0.010084117411510739,0.7473271459273855,0.00045614804561147876,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
1322,0.8525171279907227,0.9408983340373115,0.8585512325101128,0.1412217633643955,OFFLOADED,1.0,No,1.0,1.0,1.0,True,False
1323,0.8176605105400085,0.8537766738948239,0.6767518752243954,4.299995693654394e-06,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
1324,0.28941670060157776,5.762437152465836e-14,0.644305594179849,2.740074891741007e-07,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1325,0.6630505323410034,0.21744463165389366,0.710632148771458,5.1404087119380304e-05,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
1326,0.28004738688468933,1.2184811438659218e-15,0.36123744783122547,3.770763561636624e-17,OFFLOADED,1.0,No,1.0,1.0,0.0,False,False
1327,0.9400365352630615,0.9958329263827359,1.0,1.0,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
1328,0.2665039896965027,2.9385339112189315e-18,0.2414239428785383,2.254982477604961e-20,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1329,0.2562720775604248,2.7715836663019473e-21,0.325572551624981,2.5491158934642847e-18,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1330,0.28433603048324585,7.439944154654148e-15,0.1471241909777642,3.0097981553989368e-21,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1331,0.3936735689640045,3.3474003081905826e-06,0.5704035173311582,1.8729346458501026e-09,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1332,0.2869319021701813,1.7229266056646457e-14,0.42721603984723105,8.950028065121445e-15,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1333,0.2587674558162689,1.818335128003864e-20,0.2620935155803025,4.183060830473373e-20,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1334,0.2799440920352936,9.293146497148225e-16,0.4497866062882995,6.5178569239443e-14,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
1335,0.0,0.0,0.6122632467197034,3.086510077149031e-08,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
1336,0.8952689170837402,0.987556594420437,1.0,1.0,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
