Index,p_t,q_t,Action,Y_t,Success,FP,FN,Misclassified
4046,0.7044810056686401,0.5263762672120986,ACCEPTED,1.0,No,1.0,1.0,1.0
4047,0.2524503469467163,1.469464949182298e-63,OFFLOADED,1.0,No,1.0,1.0,1.0
4048,0.7642102837562561,0.8567784417312512,ACCEPTED,1.0,No,1.0,1.0,1.0
4049,0.2918761968612671,7.959186234783312e-34,OFFLOADED,1.0,No,1.0,1.0,1.0
4050,0.8738400936126709,0.9987370524048166,ACCEPTED,1.0,No,1.0,1.0,1.0
4051,0.3512353003025055,4.355173157738388e-18,OFFLOADED,1.0,No,1.0,0.0,0.0
4052,0.7918325662612915,0.9080045590904242,ACCEPTED,1.0,No,1.0,1.0,1.0
4053,0.26854854822158813,3.784736254898568e-47,OFFLOADED,1.0,No,1.0,1.0,1.0
4054,0.40618789196014404,1.636160775207525e-11,OFFLOADED,1.0,No,1.0,1.0,1.0
4055,0.25034409761428833,9.961138531946782e-65,OFFLOADED,1.0,No,1.0,1.0,1.0
4056,0.32411083579063416,5.96630800944898e-23,OFFLOADED,1.0,No,1.0,0.0,0.0
4057,0.8036577105522156,0.934565631098547,ACCEPTED,1.0,No,1.0,1.0,1.0
4058,0.27588051557540894,1.808916148243099e-42,OFFLOADED,1.0,No,1.0,1.0,1.0
4059,0.7379897236824036,0.7480686152403402,OFFLOADED,1.0,No,1.0,1.0,1.0
4060,0.3069167733192444,4.721566165499846e-28,OFFLOADED,1.0,No,1.0,1.0,1.0
4061,0.3906156122684479,4.4649530321002995e-13,OFFLOADED,1.0,No,1.0,1.0,1.0
4062,0.9091976284980774,0.9999306926651401,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4063,0.26844334602355957,2.1688306748330908e-47,OFFLOADED,1.0,No,1.0,1.0,1.0
4064,0.7876631617546082,0.8854284664451189,ACCEPTED,1.0,No,1.0,1.0,1.0
4065,0.8929919004440308,0.9996583917540564,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4066,0.7792550325393677,0.862214154303599,ACCEPTED,1.0,No,1.0,1.0,1.0
4067,0.3074502646923065,6.273510178264903e-28,OFFLOADED,1.0,No,1.0,1.0,1.0
4068,0.2762761414051056,2.3515119920645896e-42,OFFLOADED,1.0,No,0.0,1.0,1.0
4069,0.29910019040107727,3.092325873354613e-31,OFFLOADED,1.0,No,1.0,1.0,1.0
4070,0.2752009332180023,5.69041947704596e-43,OFFLOADED,1.0,No,1.0,1.0,1.0
4071,0.2506869435310364,5.454372136935654e-65,OFFLOADED,1.0,No,1.0,1.0,1.0
4072,0.3267522156238556,3.0459811965870693e-22,OFFLOADED,1.0,No,1.0,0.0,0.0
4073,0.3316422700881958,5.3878415712722396e-21,OFFLOADED,1.0,No,1.0,1.0,0.0
4074,0.7606644630432129,0.811612953365689,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4075,0.7976794838905334,0.907029804070514,ACCEPTED,1.0,No,0.0,0.0,1.0
4076,0.8978314399719238,0.9997827250435929,ACCEPTED,1.0,No,1.0,1.0,1.0
4077,0.328393816947937,7.611055213178945e-22,OFFLOADED,1.0,No,1.0,1.0,0.0
4078,0.4325411915779114,3.3678932262882257e-09,OFFLOADED,1.0,No,1.0,1.0,1.0
4079,0.8803468942642212,0.998948649995425,ACCEPTED,1.0,No,1.0,1.0,1.0
4080,0.29285645484924316,1.007170444057843e-33,OFFLOADED,1.0,No,1.0,1.0,1.0
4081,0.2715325653553009,2.0392227941054924e-45,OFFLOADED,1.0,No,1.0,1.0,1.0
4082,0.8249444961547852,0.9588896507223182,ACCEPTED,1.0,No,1.0,1.0,1.0
4083,0.3158899247646332,2.5478837763479264e-25,OFFLOADED,1.0,No,1.0,1.0,1.0
4084,0.483167439699173,2.1581031408756877e-06,OFFLOADED,1.0,No,0.0,0.0,1.0
4085,0.5868427753448486,0.007238420374710907,OFFLOADED,1.0,No,1.0,1.0,0.0
4086,0.7738369703292847,0.8463705931997672,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4087,0.2863703668117523,6.442552048967401e-37,OFFLOADED,1.0,No,1.0,1.0,0.0
4088,0.36251458525657654,1.3792372259848327e-16,OFFLOADED,1.0,No,1.0,0.0,0.0
4089,0.7681761384010315,0.8408246024730683,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4090,0.8720105290412903,0.9979680649192976,ACCEPTED,1.0,No,1.0,1.0,1.0
4091,0.2641228139400482,7.324005812824279e-51,OFFLOADED,1.0,No,1.0,1.0,1.0
4092,0.7949770092964172,0.900764514118446,ACCEPTED,1.0,No,1.0,1.0,1.0
4093,0.5018195509910583,1.3727633174027294e-05,OFFLOADED,1.0,No,1.0,1.0,1.0
4094,0.6223861575126648,0.047473238156317654,OFFLOADED,1.0,No,1.0,1.0,1.0
4095,0.2644902169704437,1.2256995257779735e-50,OFFLOADED,1.0,No,1.0,1.0,1.0
4096,0.7740830779075623,0.8556859678062295,ACCEPTED,1.0,No,1.0,1.0,0.0
4097,0.2606649100780487,3.24236646208008e-54,OFFLOADED,1.0,No,1.0,1.0,1.0
4098,0.3158227801322937,1.7351327272164522e-25,OFFLOADED,1.0,No,0.0,1.0,1.0
4099,0.28286343812942505,9.741431624279501e-39,OFFLOADED,1.0,No,0.0,1.0,1.0
4100,0.25384312868118286,1.2881663327033248e-62,OFFLOADED,1.0,No,1.0,1.0,1.0
4101,0.860540509223938,0.9938297281480574,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4102,0.4198228120803833,2.3351359159638834e-10,OFFLOADED,1.0,No,1.0,1.0,1.0
4103,0.2685156762599945,7.212571997784818e-48,OFFLOADED,1.0,No,1.0,1.0,1.0
4104,0.405082106590271,8.393404860735167e-12,OFFLOADED,1.0,No,0.0,1.0,0.0
4105,0.7799893021583557,0.8572857958124971,ACCEPTED,1.0,No,1.0,1.0,1.0
4106,0.5909382104873657,0.008214973561791197,OFFLOADED,1.0,No,1.0,1.0,0.0
4107,0.2560024559497833,4.227540958337489e-60,OFFLOADED,1.0,No,1.0,1.0,0.0
4108,0.27071648836135864,2.8669418644174117e-46,OFFLOADED,1.0,No,1.0,1.0,1.0
4109,0.3436248302459717,2.0529962235677078e-19,OFFLOADED,1.0,No,1.0,1.0,1.0
4110,0.7921462059020996,0.8766959370288605,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4111,0.28686127066612244,7.507576239997195e-37,OFFLOADED,1.0,No,1.0,1.0,1.0
4112,0.9478502869606018,0.9999901240032942,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4113,0.29869747161865234,8.251920373324904e-32,OFFLOADED,1.0,No,0.0,1.0,0.0
4114,0.584867000579834,0.0054857741805236886,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4115,0.35750991106033325,1.9358709970691786e-17,OFFLOADED,1.0,No,0.0,0.0,1.0
4116,0.2614592909812927,1.7865722786666697e-53,OFFLOADED,1.0,No,1.0,1.0,1.0
4117,0.3564668595790863,1.2929698880486998e-17,OFFLOADED,1.0,No,1.0,1.0,1.0
4118,0.5708099007606506,0.001869628236423817,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4119,0.26089179515838623,3.717537890974892e-54,OFFLOADED,1.0,No,1.0,1.0,0.0
4120,0.8654516935348511,0.9961152324665957,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4121,0.9160972237586975,0.9999503109984902,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4122,0.5434831380844116,0.00030695044208064147,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4123,0.3157689869403839,1.3291701530821972e-25,OFFLOADED,1.0,No,1.0,0.0,1.0
4124,0.30219098925590515,3.170842627728852e-30,OFFLOADED,1.0,No,1.0,0.0,0.0
4125,0.8771659135818481,0.9985965481293967,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4126,0.8112781643867493,0.9339105628590687,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4127,0.2666625678539276,1.878392978215973e-49,OFFLOADED,1.0,No,1.0,0.0,0.0
4128,0.2624283730983734,1.1557786709602927e-52,OFFLOADED,1.0,No,1.0,1.0,0.0
4129,0.45071080327033997,3.799580843730104e-08,OFFLOADED,1.0,No,1.0,1.0,1.0
4130,0.25819262862205505,1.511542678959527e-57,OFFLOADED,1.0,No,1.0,1.0,1.0
4131,0.25209271907806396,2.854556679157257e-65,OFFLOADED,1.0,No,0.0,1.0,1.0
4132,0.8382825255393982,0.9748850655784175,ACCEPTED,1.0,No,1.0,1.0,1.0
4133,0.0,0.0,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4134,0.33885449171066284,5.4143459765561464e-20,OFFLOADED,1.0,No,1.0,1.0,1.0
4135,0.2711113393306732,3.556091481395297e-46,OFFLOADED,1.0,No,1.0,1.0,1.0
4136,0.5151906609535217,3.1592551843231374e-05,OFFLOADED,1.0,No,1.0,1.0,1.0
4137,0.7147595286369324,0.5762862959665627,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4138,0.8837636709213257,0.9992341089902258,ACCEPTED,1.0,No,1.0,1.0,1.0
4139,0.5638169050216675,0.0012334672347932985,OFFLOADED,1.0,No,1.0,1.0,1.0
4140,0.3709941804409027,9.269072974398592e-16,OFFLOADED,1.0,No,1.0,1.0,1.0
4141,0.2522130310535431,2.8897249919163103e-65,OFFLOADED,1.0,No,1.0,1.0,1.0
4142,0.49956265091896057,1.0634741695886197e-05,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4143,0.5008513927459717,1.2313663849072251e-05,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4144,0.8850525617599487,0.9992669936934166,ACCEPTED,1.0,No,1.0,1.0,1.0
4145,0.2728147804737091,4.8053017740109783e-45,OFFLOADED,1.0,No,1.0,1.0,1.0
4146,0.2720293700695038,1.3115391841471466e-45,OFFLOADED,1.0,No,1.0,1.0,1.0
4147,0.2996445894241333,1.7591493003432364e-31,OFFLOADED,1.0,No,1.0,1.0,0.0
4148,0.8025610446929932,0.9197393996179201,ACCEPTED,1.0,No,1.0,1.0,1.0
4149,0.569683313369751,0.0017809542286344562,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4150,0.2812724709510803,5.5481582138574554e-40,OFFLOADED,1.0,No,1.0,1.0,1.0
4151,0.3069223165512085,1.4951606370301755e-28,OFFLOADED,1.0,No,1.0,1.0,1.0
4152,0.2807926833629608,2.928875572180452e-40,OFFLOADED,1.0,No,1.0,1.0,1.0
4153,0.2742787003517151,3.485873581445783e-44,OFFLOADED,1.0,No,1.0,1.0,1.0
4154,0.2531127333641052,4.69111782092482e-64,OFFLOADED,1.0,No,1.0,1.0,1.0
4155,0.27685678005218506,1.073073559511646e-42,OFFLOADED,1.0,No,1.0,1.0,0.0
4156,0.5522152781486511,0.0006054458371260163,OFFLOADED,1.0,No,1.0,1.0,1.0
4157,0.9081606268882751,0.9999111303864417,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4158,0.5524103045463562,0.0005785350701354614,OFFLOADED,1.0,No,1.0,1.0,1.0
4159,0.25004300475120544,2.810901983587209e-66,OFFLOADED,1.0,No,1.0,1.0,1.0
4160,0.3642760217189789,1.519455774088011e-16,OFFLOADED,1.0,No,1.0,1.0,1.0
4161,0.29215145111083984,1.4809889137306072e-34,OFFLOADED,1.0,No,1.0,1.0,1.0
4162,0.41212329268455505,4.511855311280904e-11,OFFLOADED,1.0,No,1.0,1.0,0.0
4163,0.26222535967826843,2.7855213825410663e-53,OFFLOADED,1.0,No,1.0,1.0,1.0
4164,0.2969701588153839,8.545220862772388e-33,OFFLOADED,1.0,No,1.0,1.0,1.0
4165,0.3464530408382416,3.08130496273678e-19,OFFLOADED,1.0,No,1.0,1.0,1.0
4166,0.45585331320762634,6.457421041747853e-08,OFFLOADED,1.0,No,0.0,1.0,1.0
4167,0.3116908073425293,4.470851148211791e-27,OFFLOADED,1.0,No,1.0,1.0,1.0
4168,0.2514041066169739,2.0321464576451445e-66,OFFLOADED,1.0,No,1.0,1.0,1.0
4169,0.5168556571006775,3.09501213186875e-05,OFFLOADED,1.0,No,0.0,1.0,0.0
4170,0.47871363162994385,1.0677559091917338e-06,OFFLOADED,1.0,No,0.0,0.0,1.0
4171,0.8234841823577881,0.9543302574302501,ACCEPTED,1.0,No,1.0,1.0,1.0
4172,0.5202816724777222,3.641108876953104e-05,OFFLOADED,1.0,No,1.0,1.0,0.0
4173,0.2578422427177429,1.5225573936533307e-58,OFFLOADED,1.0,No,0.0,0.0,1.0
4174,0.306874543428421,7.578130383376113e-29,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4175,0.33206167817115784,2.0115495408474653e-21,OFFLOADED,1.0,No,1.0,1.0,1.0
4176,0.273893803358078,9.716223897208497e-45,OFFLOADED,1.0,No,1.0,1.0,1.0
4177,0.27682626247406006,4.773693429983201e-43,OFFLOADED,1.0,No,1.0,1.0,1.0
4178,0.7698407173156738,0.8394378167730873,ACCEPTED,1.0,No,1.0,1.0,1.0
4179,0.7845948934555054,0.8580471157869336,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4180,0.6722118258476257,0.2541537950102255,OFFLOADED,1.0,No,1.0,1.0,1.0
4181,0.5135343074798584,2.2070418505239937e-05,OFFLOADED,1.0,No,1.0,1.0,1.0
4182,0.4395446181297302,5.419032053576456e-09,OFFLOADED,1.0,No,1.0,1.0,1.0
4183,0.9081076383590698,0.9999097135533906,ACCEPTED,1.0,No,1.0,1.0,1.0
4184,0.2615904211997986,3.492349042021172e-54,OFFLOADED,1.0,No,1.0,0.0,0.0
4185,0.3374592363834381,1.613207162796983e-20,OFFLOADED,1.0,No,1.0,1.0,1.0
4186,0.9599136710166931,0.9999937064585112,ACCEPTED,1.0,No,1.0,1.0,1.0
4187,0.850830614566803,0.9865487191605247,ACCEPTED,1.0,No,1.0,1.0,1.0
4188,0.7450346946716309,0.7586908571157257,ACCEPTED,1.0,No,1.0,1.0,1.0
4189,0.3257910907268524,3.392770461089844e-23,OFFLOADED,1.0,No,1.0,0.0,0.0
4190,0.8507844805717468,0.9850601562048037,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4191,0.2607617974281311,2.9655177863635615e-55,OFFLOADED,1.0,No,1.0,1.0,1.0
4192,0.424399733543396,4.031526092975917e-10,OFFLOADED,1.0,No,1.0,1.0,1.0
4193,0.8821130990982056,0.998849924127402,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4194,0.2572880685329437,1.526168778602424e-59,OFFLOADED,1.0,No,1.0,1.0,1.0
4195,0.2900407016277313,7.21124300368992e-36,OFFLOADED,1.0,No,1.0,1.0,1.0
4196,0.45352932810783386,3.536271557477294e-08,OFFLOADED,1.0,No,1.0,1.0,1.0
4197,0.2976323366165161,6.782303222422094e-33,OFFLOADED,1.0,No,0.0,1.0,0.0
4198,0.5236116647720337,4.140322353502591e-05,OFFLOADED,1.0,No,1.0,1.0,1.0
4199,0.2519080936908722,1.5131497894427218e-66,OFFLOADED,1.0,No,1.0,1.0,1.0
4200,0.7908605933189392,0.8721847604371891,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4201,0.4531196653842926,3.0104626887970206e-08,OFFLOADED,1.0,No,0.0,1.0,1.0
4202,0.2926918566226959,8.571615152679929e-35,OFFLOADED,1.0,No,0.0,0.0,1.0
4203,0.38818734884262085,8.289962605210156e-14,OFFLOADED,1.0,No,1.0,1.0,1.0
4204,0.29057782888412476,8.908431065604032e-36,OFFLOADED,1.0,No,0.0,1.0,1.0
4205,0.7982402443885803,0.8997446042576691,ACCEPTED,1.0,No,1.0,1.0,1.0
4206,0.3281378448009491,1.0796762450123293e-22,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4207,0.4117577075958252,2.0677513309243526e-11,OFFLOADED,1.0,No,1.0,1.0,1.0
4208,0.9375483393669128,0.999985795025829,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4209,0.30147820711135864,3.899258277290894e-31,OFFLOADED,1.0,No,0.0,1.0,1.0
4210,0.28521713614463806,1.6321891122828743e-38,OFFLOADED,1.0,No,1.0,1.0,1.0
4211,0.9085489511489868,0.9999100751440265,ACCEPTED,1.0,No,1.0,1.0,1.0
4212,0.25295159220695496,3.348475443055097e-65,OFFLOADED,1.0,No,1.0,1.0,1.0
4213,0.783966064453125,0.8565398788121872,OFFLOADED,1.0,No,1.0,1.0,1.0
4214,0.3406262993812561,3.046311259474352e-20,OFFLOADED,1.0,No,1.0,1.0,1.0
4215,0.49706748127937317,6.718893534197414e-06,OFFLOADED,1.0,No,1.0,0.0,0.0
4216,0.338669091463089,1.441428641783334e-20,OFFLOADED,1.0,No,1.0,0.0,0.0
4217,0.5246396660804749,4.209924406870669e-05,OFFLOADED,1.0,No,1.0,1.0,1.0
4218,0.3247939944267273,9.384187442597241e-24,OFFLOADED,1.0,No,1.0,1.0,1.0
4219,0.29073554277420044,6.937401503739618e-36,OFFLOADED,1.0,No,1.0,1.0,1.0
4220,0.4359113276004791,2.115697150383013e-09,OFFLOADED,1.0,No,0.0,1.0,1.0
4221,0.8318672776222229,0.9601868956530758,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4222,0.5651362538337708,0.0011907306787007697,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4223,0.267990380525589,1.1021239921071637e-49,OFFLOADED,1.0,No,1.0,1.0,1.0
4224,0.7813921570777893,0.8457425119246019,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4225,0.2641313374042511,1.785053212519214e-52,OFFLOADED,1.0,No,1.0,1.0,1.0
4226,0.9218050837516785,0.9999632823504438,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4227,0.8370517492294312,0.9698409196350062,ACCEPTED,0.0,Yes,0.0,0.0,0.0
4228,0.7577552795410156,0.7993880169918306,ACCEPTED,1.0,No,1.0,1.0,1.0
4229,0.3916628062725067,1.464832655685109e-13,OFFLOADED,0.0,Yes,0.0,0.0,0.0
4230,0.3058261275291443,1.491256176721784e-29,OFFLOADED,1.0,No,1.0,0.0,0.0
4231,0.2566109299659729,6.704078643406991e-61,OFFLOADED,1.0,No,0.0,1.0,1.0
4232,0.29184821248054504,2.1974525902006487e-35,OFFLOADED,1.0,No,1.0,0.0,0.0
4233,0.31622976064682007,3.8916603322059863e-26,OFFLOADED,1.0,No,1.0,1.0,1.0
4234,0.49362245202064514,4.770129658081e-06,OFFLOADED,1.0,No,1.0,1.0,1.0
4235,0.25727182626724243,3.949580641277825e-60,OFFLOADED,1.0,No,1.0,1.0,1.0
4236,0.28878912329673767,6.614079973902759e-37,OFFLOADED,1.0,No,1.0,1.0,1.0
4237,0.2670350670814514,1.5579207480427298e-50,OFFLOADED,1.0,No,1.0,0.0,0.0
4238,0.29814413189888,6.125228863203444e-33,OFFLOADED,1.0,No,0.0,1.0,1.0
