Index,p_t,q_t,cluster_safety_t,q_cluster_t,Action,Y_t,Success,FP,FN,Misclassified,SSM decision,Weakest Link decision
2690,0.31003615260124207,3.8470874417254715e-19,0.6521653954351426,1.403072708451659e-05,OFFLOADED,1.0,No,0.0,1.0,1.0,False,False
2691,0.8329735994338989,0.9661230730518656,0.9739743968332684,0.9999991228076274,ACCEPTED,1.0,No,1.0,1.0,0.0,True,True
2692,0.42802226543426514,2.144000503236003e-07,0.8387609107836272,0.5664229466927381,OFFLOADED,1.0,No,0.0,0.0,1.0,False,False
2693,0.4687997102737427,1.0487421742029901e-05,0.5568168034606957,2.587688863302939e-10,OFFLOADED,1.0,No,1.0,0.0,0.0,False,False
2694,0.32072168588638306,2.803732306796513e-17,0.5660490291347551,1.3636161393517225e-09,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2695,0.28461286425590515,7.838017197164495e-27,0.5372789697360854,1.1690844261415396e-11,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2696,0.6830730438232422,0.2934277887854796,0.5008556606294906,4.188438250550463e-14,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2697,0.6721401810646057,0.21838721774916878,0.8990983300190021,0.9947943293425878,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2698,0.8046995401382446,0.9174351419107816,0.9739465557372927,0.9999990422383717,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,True
2699,0.7170723676681519,0.5174462118277458,0.7919496489337734,0.12813345848294774,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
2700,0.3754645586013794,2.76283166622958e-11,0.7312113413408999,0.018979645080320573,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2701,0.8112709522247314,0.9371001537155039,0.8956297889835441,0.993370225659031,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
2702,0.8411275744438171,0.9773868289894008,0.9498917557038431,0.9999746411345851,ACCEPTED,0.0,Yes,0.0,0.0,0.0,True,True
2703,0.9059992432594299,0.9996131491445436,0.4591810188459323,6.574424613632969e-17,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
2704,0.2792520523071289,7.753802095652744e-29,0.25912442678715447,3.5541829090328004e-29,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2705,0.8280971646308899,0.9644172705330581,0.8637581286995978,0.8911533246687835,ACCEPTED,1.0,No,1.0,1.0,1.0,True,True
2706,0.25093787908554077,1.4207789119409765e-43,0.2635606286628384,5.551590110296065e-29,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2707,0.7979070544242859,0.9089692190404339,0.49338182505576905,1.0608432575968417e-14,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
2708,0.0,0.0,0.7198015191206468,0.007721869234473733,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,False
2709,0.8298735022544861,0.9660836615159842,0.8030775563409398,0.19664229487856538,OFFLOADED,0.0,Yes,0.0,0.0,0.0,True,False
2710,0.2524331212043762,2.420183731153443e-43,0.7838645456449713,0.1050480004545474,OFFLOADED,1.0,No,0.0,0.0,1.0,False,False
2711,0.25156232714653015,1.3504818597416371e-43,0.2894302495374695,1.2625996265885064e-27,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2712,0.31077802181243896,4.225815191968887e-19,0.9701674600123338,0.9999984710898144,OFFLOADED,1.0,No,1.0,0.0,0.0,False,True
2713,0.6129499673843384,0.03107334688226881,0.8412532387712834,0.6147147401780875,OFFLOADED,0.0,Yes,0.0,0.0,0.0,False,True
2714,0.29976212978363037,4.312055279105729e-22,0.632448476938497,1.8225138356666334e-06,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2715,0.9670711159706116,0.9999586814453167,0.7546283414643941,0.0534599742863037,OFFLOADED,1.0,No,1.0,1.0,0.0,True,False
2716,0.7572101354598999,0.7790939688921482,0.6330035326311136,1.7399243112754223e-06,OFFLOADED,1.0,No,1.0,1.0,1.0,True,False
2717,0.2591380774974823,2.2070841125404338e-38,0.39346104472410126,6.390305389712211e-21,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
2718,0.35111576318740845,1.6023327643819848e-13,0.4654318094057733,1.7285186960532288e-16,OFFLOADED,1.0,No,1.0,1.0,1.0,False,False
